fid,genus,species,cultivar,dbh,street,park,id,fullname,Site_1,Present,dbh_2025,height2025,Measured,Comments,Measured_height,Measured_DBH
24418,Picea,pungens,glauca,31,,PÈRE MARQUETTE,"25380",Picea pungens,MARQ-1,Present,"45",13.6,,,true,false
24419,Celtis,occidentalis,,14,,PÈRE MARQUETTE,"25381",Celtis occidentalis,MARQ-1,Present,"20.1",9.5,,,true,true
24425,Celtis,occidentalis,,24,,PÈRE MARQUETTE,"25387",Celtis occidentalis,MARQ-1,Present,"25.7",8.6,,,true,true
24432,Acer,saccharum,,29,,PÈRE MARQUETTE,"25394",Acer saccharum,MARQ-2,Present,"37.2",14.3,,,true,true
24433,Acer,saccharum,,29,,PÈRE MARQUETTE,"25395",Acer saccharum,MARQ-2,Present,"33.7",13.9,,,true,true
24434,Acer,saccharinum,,35,,PÈRE MARQUETTE,"25396",Acer saccharinum,MARQ-2,Present,"41.8",19.5,,,true,true
24435,Acer,saccharinum,,36,,PÈRE MARQUETTE,"25397",Acer saccharinum,MARQ-2,Present,"41.9",19.5,,,false,true
24436,Acer,saccharinum,,42,,PÈRE MARQUETTE,"25398",Acer saccharinum,MARQ-2,Present,"48.8",19.5,,,false,true
24894,Tilia,americana,,38,,ROSEMONT/GARNIER,"25880",Tilia americana,MARQ-1,Present,"45.4",12.1,,,true,true
24895,Malus,sp.,,13,,ROSEMONT/GARNIER,"25881",Malus sp,MARQ-1,Present,"2.5,2.5,2.5,2",3.5,,,false,false
24896,Aesculus,flava,yellow buckeye,5,,ROSEMONT/GARNIER,"25882",Aesculus flava,MARQ-1,Present,"6.3",3.7,,,true,true
24897,Aesculus,hippocastanum,,23,,ROSEMONT/GARNIER,"25883",Aesculus hippocastanum,MARQ-1,Present,"31.2",8.7,,,true,true
25040,Ulmus,americana,brandon,5,,"PELICAN, LE","26028",Ulmus americana,(PELI-2),,,,,,,
25041,Ulmus,americana,brandon,5,,"PELICAN, LE","26029",Ulmus americana,(PELI-2),,,,,,,
25924,Juglans,cinerea,,5,,"PELICAN, LE","27053",Juglans cinerea,(PELI-2),,,,,,,
25925,Juglans,cinerea,,5,,"PELICAN, LE","27054",Juglans cinerea,(PELI-2),,,,,,,
25926,Gymnocladus,dioicus,,5,,"PELICAN, LE","27055",Gymnocladus dioicus,(PELI-2),,,,,,,
25927,Gymnocladus,dioicus,,5,,"PELICAN, LE","27056",Gymnocladus dioicus,(PELI-2),,,,,,,
25928,Gymnocladus,dioicus,,5,,"PELICAN, LE","27057",Gymnocladus dioicus,(PELI-2),,,,,,,
25929,Gymnocladus,dioicus,,5,,"PELICAN, LE","27058",Gymnocladus dioicus,(PELI-2),,,,,,,
25930,Larix,decidua,,5,,"PELICAN, LE","27059",Larix decidua,(PELI-2),,,,,,,
25931,Larix,decidua,,5,,"PELICAN, LE","27060",Larix decidua,(PELI-2),,,,,,,
25932,Acer,saccharum,,5,,"PELICAN, LE","27061",Acer saccharum,(PELI-2),,,,,,,
26871,Tilia,cordata,,52,,"PELICAN, LE","28009",Tilia cordata,(PELI-1),,,,,,,
26872,Acer,saccharinum,,72,,"PELICAN, LE","28010",Acer saccharinum,(PELI-1),,,,,,,
26873,Acer,platanoides,,53,,"PELICAN, LE","28011",Acer platanoides,(PELI-1),,,,,,,
26874,Acer,platanoides,,47,,"PELICAN, LE","28012",Acer platanoides,(PELI-1),,,,,,,
